d	TYPE	BILLINGSTREET	BILLINGCITY	BILLINGSTATE	BILLINGPOSTALCODE	BILLINGCOUNTRY	SHIPPINGSTREET	SHIPPINGCITY	SHIPPINGSTATE	SHIPPINGPOSTALCODE	SHIPPINGCOUNTRY	PHONE	WEBSITE	INDUSTRY	OWNERSHIP	NUMBEROFEMPLOYEES	RATING	DESCRIPTION						
1 TC SA DE CV	Prospect	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-DF	3810	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-DF	3810	MX	TCX120920766	www.1 TC SA DE CV.com	Food & Beverage	Other	234	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
A and T unlimit Limited	Customer - Direct	1301 Hoch Drive	38-42 Kwai Fung Crescent 	 Kwai Chung	HK-HK	HKSAR	HK	"345 Shoreline Park
Mountain View, CA 94043
USA"	38-42 Kwai Fung Crescent 	 Kwai Chung	HK-HK	HKSAR	HK	6272721	www.A and T unlimit Limited.com	Engineering	Other	23	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.
A B COMUNICACION SA DE CV	Customer - Channel	2 Place Jussieu	MEXICO	MX-NL	54040	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	54040	MX	ACO000710QD7	www.A B COMUNICACION SA DE CV.com	Transportation	Private	5134	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
AAM Freudenberg NOK General Partnership	Channel Partner / Reseller	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Chicago	IL	60673	US	DHE010828K6A	Chicago	IL	60673	US	38-2858208	www.AAM Freudenberg NOK General Partnership.com	Utilities	Subsidiary	234	Hot	World's third largest oil and gas company.						
AAR Corp Hardware Abscoa Division	Prospect	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MERIDA	MX-YU	97305	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MERIDA	MX-YU	97305	MX	SQP121121IB4	www.SERVIDORA QUIMICA PG DEL SURESTE SA DE CV.com	Communications	Private	2	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
Abacus Programming Corporation	Technology Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MERIDA	MX-YU	97203	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MERIDA	MX-YU	97203	MX	GMO0903189CA	www.GAMA MODELS SCP.com	Environmental	Private	35234	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
ABASTECEDOR HOSPITALARIO DEL	Installation Partner	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	97000	MX	Test acc 2157	MEXICO	MX-NL	97000	MX	AHS92042886A	www.ABASTECEDOR HOSPITALARIO DEL.com	Construction	Subsidiary	345	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
ABASTECEDORA DE METALES Y DERIVADOS SA DE CV	Technology Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-MX	0	MX	DHE010828K6A	MEXICO	MX-MX	0	MX	PRF1190	www.ABASTECEDORA DE METALES Y DERIVADOS SA DE CV.com	Environmental	Private	234	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
ABASTECEDORA DE VALVULAS INTRUMENT	Other	525 S. Lexington Ave	MEXICO	MX-NL	0	MX	Test acc 2157	MEXICO	MX-NL	0	MX	AVI950830VD2	www.ABASTECEDORA DE VALVULAS INTRUMENT.com	Manufacturing	Private	52345234	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
ABASTECIMIENTOS INDUSTRIALES GH SA DE CV	Prospect	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MONTERREY	MX-NL	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MONTERREY	MX-NL	0	MX	AIG1112211S8	www.ABASTECIMIENTOS INDUSTRIALES GH SA DE CV.com	Biotechnology	Other	452	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
