"JBCXM__Account__c","JBCXM__Stage__c","JBCXM__Status__c","JBCXM__Comments__c"
"0019000000oGEftAAG","stage1","InactiveCustomer","A and T unlimit Limited - stage1 - InactiveCustomer"
"0019000000oGENwAAO","stage2","ActiveCustomer","Sienna Gold Ltd - stage2 - ActiveCustomer"
"0019000000oGEfuAAG","stage3","InactiveCustomer","COLD EXPRESS SA DE CV - stage3 - InactiveCustomer"
"0019000000oGENgAAO","stage4","ActiveCustomer","Murex N.A. Ltd - stage4 - ActiveCustomer"
"0019000000nFzoRAAS","stage5","InactiveCustomer","Via Systems - stage5 - InactiveCustomer"
"0019000000oGEcOAAW","stage6","ActiveCustomer","DAKTEL COMUNICACIONES SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEYBAA4","stage1","InactiveCustomer","DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - stage1 - InactiveCustomer"
"0019000000oGEV3AAO","stage2","ActiveCustomer","OBED GERARDO ARELLANO GUTIERREZ - stage2 - ActiveCustomer"
"0019000000oGEM8AAO","stage3","InactiveCustomer","REFRIGERACION COMER AGROPECU - stage3 - InactiveCustomer"
"0019000000oGETCAA4","stage4","ActiveCustomer","Anunay Fab Ltd - stage4 - ActiveCustomer"
"0019000000oGEjMAAW","stage5","InactiveCustomer","SUPER URECOAT INDUSTRIES - stage5 - InactiveCustomer"
"0019000000nFznYAAS","stage6","ActiveCustomer","Jadow B & Sons Inc - stage6 - ActiveCustomer"
"0019000000oGEWLAA4","stage1","InactiveCustomer","Republic of Nauru Phosphate (RONPHOS) Corporation - stage1 - InactiveCustomer"
"0019000000oGEMeAAO","stage2","ActiveCustomer","CARHLUC CARROCERIAS Y REMOLQUES SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEiIAAW","stage3","InactiveCustomer","Alltech Automotive LLC - stage3 - InactiveCustomer"
"0019000000oGEGJAA4","stage4","ActiveCustomer","DALE VALOR A MEXICO SC - stage4 - ActiveCustomer"
"0019000000oGEiZAAW","stage5","InactiveCustomer","SPIN MASTER MEXICO SA DE CV - stage5 - InactiveCustomer"
"0019000000oGERuAAO","stage6","ActiveCustomer","ATTEBURY GRAIN - stage6 - ActiveCustomer"
"0019000000nFznMAAS","stage1","InactiveCustomer","Vicor - stage1 - InactiveCustomer"
"0019000000oGEYCAA4","stage2","ActiveCustomer","Baja Inc - stage2 - ActiveCustomer"
"0019000000nFznvAAC","stage3","InactiveCustomer","National Assn of Printing Ink - stage3 - InactiveCustomer"
"0019000000oGEfvAAG","stage4","ActiveCustomer","MA PATRICIA ROSALES HERNANDEZ - stage4 - ActiveCustomer"
"0019000000oGESQAA4","stage5","InactiveCustomer","EVERTIS DE MEXICO SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEfwAAG","stage6","ActiveCustomer","GENERAL DE CERAMICA S A DE C V - stage6 - ActiveCustomer"
"0019000000oGEfxAAG","stage1","InactiveCustomer","GRUPO VACTREK SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEjNAAW","stage2","ActiveCustomer","JUAN ANGEL FLORES AGUIRRE - stage2 - ActiveCustomer"
"0019000000oGEcPAAW","stage3","InactiveCustomer","Triumph Tool NC Inc - stage3 - InactiveCustomer"
"0019000000oGEcQAAW","stage4","ActiveCustomer","Darta NV - stage4 - ActiveCustomer"
"0019000000oGEYDAA4","stage5","InactiveCustomer","COTY UK LTD - stage5 - InactiveCustomer"
"0019000000oGEWMAA4","stage6","ActiveCustomer","Deal Partners Limited - stage6 - ActiveCustomer"
"0019000000oGEf6AAG","stage1","InactiveCustomer","IRISA ADHESIVES CORPORATION SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEcRAAW","stage2","ActiveCustomer","BOESDORFER & BOESDORFER INC - stage2 - ActiveCustomer"
"0019000000oGEaZAAW","stage3","InactiveCustomer","GKN Sinter Metals - stage3 - InactiveCustomer"
"0019000000oGEUmAAO","stage4","ActiveCustomer","AGENCE PRESSE - stage4 - ActiveCustomer"
"0019000000oGEVZAA4","stage5","InactiveCustomer","Vesco Foods Pty Ltd - stage5 - InactiveCustomer"
"0019000000oGEcSAAW","stage6","ActiveCustomer","AUREA SOFTWARE INC - stage6 - ActiveCustomer"
"0019000000nFzngAAC","stage1","InactiveCustomer","Ocean Sports Wear - stage1 - InactiveCustomer"
"0019000000oGEbKAAW","stage2","ActiveCustomer","NOVA INSTRUMENTS SERVICE SA DE CV - stage2 - ActiveCustomer"
"0019000000oGESgAAO","stage3","InactiveCustomer","RAUL MORALES RAMIREZ - stage3 - InactiveCustomer"
