"JBCXM__ACCOUNT__R.DATA_EXTERNALID__C","JBCXM__NPSCOMMENT__C","JBCXM__NPSSCORETEXT__C","JBCXM__NPSSCORETYPE__C","JBCXM__NPSSCORE__C","JBCXM__RESPONSEDATE__C","JBCXM__SURVEYCODE__R.NPSSURMAST_EXTERNALID__C","JBCXM__SURVEYPARTICIPANTID__R.SURPART_EXTERNALID__C","JBCXM__USEREMAIL__C","JBCXM__USERNAME__C","JBCXM__USERROLE__C","NPSSURRESP_EXTERNALID__C"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","3","Detractor","3","2014-02-22T17:42:09","Customer Retention","BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury","bufordo'connell@gainsight.com","BufordO'Connell","User","553Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","3","Detractor","3","2014-02-22T17:42:09","Customer Retention","BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury","bricebreitenberg@gainsight.com","BriceBreitenberg","User","549Customer Retention"
"ICM Corp","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","0","Detractor","0","2014-02-22T17:42:09","Customer Retention","BrendaRobelDVM@googly.comICM Corp","brendarobeldvm@googly.com","BrendaRobelDVM","User","582Customer Retention"
"ICM Corp","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","7","Passives","7","2014-02-22T17:42:09","Customer Retention","BobbieMills@googly.comICM Corp","bobbiemills@googly.com","BobbieMills","User","584Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","2","Detractor","2","2014-02-22T17:42:09","Customer Retention","BraulioHagenesIV@gainsight.comCadbury Beverages Div Cadbury","brauliohagenesiv@gainsight.com","BraulioHagenesIV","User","566Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","9","Promoter","9","2014-02-22T17:42:09","Customer Retention","BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury","bernhardabshire@gainsight.com","BernhardAbshire","User","551Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","2","Detractor","2","2014-02-22T17:42:09","Customer Retention","BrandonConsidine@gainsight.comCadbury Beverages Div Cadbury","brandonconsidine@gainsight.com","BrandonConsidine","User","559Customer Retention"
"ICM Corp","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","2","Detractor","2","2014-02-22T17:42:09","Customer Retention","BillMiller@googly.comICM Corp","billmiller@googly.com","BillMiller","User","586Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","4","Detractor","4","2014-02-22T17:42:09","Customer Retention","BettieMcClure@gainsight.comCadbury Beverages Div Cadbury","bettiemcclure@gainsight.com","BettieMcClure","User","557Customer Retention"
"ICM Corp","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","3","Detractor","3","2014-02-22T17:42:09","Customer Retention","BeaulahKautzerSr.@googly.comICM Corp","beaulahkautzersr.@googly.com","BeaulahKautzerSr.","User","578Customer Retention"
"ICM Corp","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","1","Detractor","1","2014-02-22T17:42:09","Customer Retention","BellaHamill@googly.comICM Corp","bellahamill@googly.com","BellaHamill","User","589Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","9","Promoter","9","2014-02-22T17:42:09","Customer Retention","BenGrady@gainsight.comCadbury Beverages Div Cadbury","bengrady@gainsight.com","BenGrady","User","572Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","4","Detractor","4","2014-02-22T17:42:09","Customer Retention","BlazeNader@gainsight.comCadbury Beverages Div Cadbury","blazenader@gainsight.com","BlazeNader","User","554Customer Retention"
"ICM Corp","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","1","Detractor","1","2014-02-22T17:42:09","Customer Retention","BrandyKshlerin@googly.comICM Corp","brandykshlerin@googly.com","BrandyKshlerin","User","581Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","0","Detractor","0","2014-02-22T17:42:09","Customer Retention","BillieSpencer@gainsight.comCadbury Beverages Div Cadbury","billiespencer@gainsight.com","BillieSpencer","User","552Customer Retention"
"Cadbury Beverages Div Cadbury","Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.","2","Detractor","2","2014-02-22T17:42:09","Customer Retention","BennettWisozk@gainsight.comCadbury Beverages Div Cadbury","bennettwisozk@gainsight.com","BennettWisozk","User","555Customer Retention"
