Name,p_c_Account__r.p_c_ExternalID__c,P_C_CHECKBOX__C,P_C_CURRENCY__C,P_C_DATE__C,P_C_DATETIME__C,P_C_MULTIPICKLIST__C,P_C_NUMBER__C,P_C_PERCENT__C,P_C_PHONENUMBER__C,P_C_PICKLIST__C,P_C_TEXT__C,P_C_TEXTAREA__C,P_C_TEXTAREARICH__C,P_C_TEXTENCRYPTED__C,P_C_URL__C,P_C_EMAIL__C,p_c_ExternalID__c,p_c_Contact__r.p_c_ExternalID__c,p_c_customobj_contact2__r.p_c_ExternalID__c
Copilot_Cust.Contact1.1,Gallo Ernst & Julio Winery,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto000,0031a000001h0aaAAA,ContObj2.Copilot_Auto000
Copilot_Cust.Contact1.2,Facts on File Newsletter,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto001,0031a000001h0leAAA,ContObj2.Copilot_Auto001
Copilot_Cust.Contact1.3,PacDevco Inc,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto002,0031a000001h0m1AAA,ContObj2.Copilot_Auto002
Copilot_Cust.Contact1.4,UniAmerica Inc,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto003,0031a000001h0mPAAQ,ContObj2.Copilot_Auto003
Copilot_Cust.Contact1.5,East Coast Traders,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto004,0031a000001h0mUAAQ,ContObj2.Copilot_Auto004
Copilot_Cust.Contact1.6,UBAF Arab American Bank,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto005,0031a000001h0mqAAA,ContObj2.Copilot_Auto005
Copilot_Cust.Contact1.7,Veritas Software,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto006,0031a000001y6MQAAY,ContObj2.Copilot_Auto006
Copilot_Cust.Contact1.8,Quinn/Brein Inc,TRUE,200,-1,-1,MPvalue1;MPvalue3,122,90,121213,Pvalue2,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto007,0031a000002kizqAAA,ContObj2.Copilot_Auto007
Copilot_Cust.Contact1.9,Nardon Mfg Company Incorporated,TRUE,200,-1,-1,MPvalue1;MPvalue4,123,91,121214,Pvalue3,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto008,0031a000002kizvAAA,ContObj2.Copilot_Auto008
Copilot_Cust.Contact1.10,Abberley Kooiman,TRUE,200,-1,-1,MPvalue1;MPvalue5,124,92,121215,Pvalue4,p_c_Text,p_c_Textarea,<b>p_c_TextAreaRich</b>,TextEncrypted,p_c_URL,autotest@automation.gainsighttest.com,ContObj1.Copilot_Auto009,0031a000002kizuAAA,ContObj2.Copilot_Auto009
