Account.p_c_ExternalID__c,LastName,FirstName,MAILINGSTREET,MAILINGCITY,MAILINGSTATE,MAILINGPOSTALCODE,MAILINGCOUNTRY,FAX,ASSISTANTPHONE,EMAIL,ASSISTANTNAME,LEADSOURCE,BIRTHDATE,DESCRIPTION,HASOPTEDOUTOFEMAIL,DONOTCALL,P_C_CHECKBOX__C,P_C_CURRENCY__C,P_C_DATE__C,P_C_DATETIME__C,P_C_MULTIPICKLIST__C,P_C_NUMBER__C,P_C_PERCENT__C,P_C_PHONENUMBER__C,P_C_PICKLIST__C,P_C_TEXT__C,P_C_TEXTAREA__C,P_C_TEXTAREARICH__C,P_C_TEXTENCRYPTED__C,P_C_URL__C,P_C_EMAIL__C,p_c_ExternalID__c,p_c_Case__r.p_c_ExternalID__c,p_c_customobj_contact2__r.p_c_ExternalID__c
Gallo Ernst & Julio Winery,Gallo  Maaz,Ahmed Jamal,Street,City,Telangana,636007,India,1212Ass,12121212,testcase1@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,TRUE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0aaAAA,Case.Copilot_Auto000,ContObj2.Copilot_Auto000
Gallo Ernst & Julio Winery,Gallo  Kotagiri,Akhila,Street,Austin,Telangana,636007,India,1212Ass,12121212,testcase5@automation.gainsighttest.com,Assistant Name,Partner Referral,-4,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0dMAAQ,Case.Copilot_Auto001,ContObj2.Copilot_Auto001
Gallo Ernst & Julio Winery,Gallo  Jain,Ankit,Street,Austin,Telangana,636007,India,1212Ass,12121212,testcase5@automation.gainsighttest.com,Assistant Name,Purchased List,-3,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0dNAAQ,Case.Copilot_Auto002,ContObj2.Copilot_Auto002
Gallo Ernst & Julio Winery,Gallo  Khan,Azharuddin,Street,Hyderabad,Telangana,636007,India,1212Ass,12121212,testcase5@automation.gainsighttest.com,Assistant Name,Partner Referral,-2,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0dOAAQ,Case.Copilot_Auto003,ContObj2.Copilot_Auto003
Gallo Ernst & Julio Winery,Gallo  Tiwary,Chandramani,Street,Hyderabad,Telangana,636007,India,1212Ass,12121212,testcase5@automation.gainsighttest.com,Assistant Name,Web,-2,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0dPAAQ,Case.Copilot_Auto004,ContObj2.Copilot_Auto004
Gallo Ernst & Julio Winery,Gallo  Baig,Farhatulla Mirza,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0dQAAQ,Case.Copilot_Auto005,ContObj2.Copilot_Auto005
Gallo Ernst & Julio Winery,Gallo  Vivek,Ganesan,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0dRAAQ,Case.Copilot_Auto006,ContObj2.Copilot_Auto006
Gallo Ernst & Julio Winery,Gallo  Naik,Gayathri,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0lQAAQ,Case.Copilot_Auto007,ContObj2.Copilot_Auto007
Gallo Ernst & Julio Winery,Gallo  Golla,Giri Babu,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0lVAAQ,Case.Copilot_Auto008,ContObj2.Copilot_Auto008
Gallo Ernst & Julio Winery,Gallo  Kommasani,Govardhan,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0lWAAQ,Case.Copilot_Auto009,ContObj2.Copilot_Auto009
Gallo Ernst & Julio Winery,Gallo  Vadlamudi,Hari babu,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0lXAAQ,Case.Copilot_Auto000,ContObj2.Copilot_Auto000
Gallo Ernst & Julio Winery,Gallo  Siripurapu,Jagadeesh,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0lYAAQ,Case.Copilot_Auto001,ContObj2.Copilot_Auto001
Gallo Ernst & Julio Winery,Gallo  Vunnam,Jaya Prakash,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0lZAAQ,Case.Copilot_Auto002,ContObj2.Copilot_Auto002
Gallo Ernst & Julio Winery,Gallo  Gubbala,Kiran Kumar,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0laAAA,Case.Copilot_Auto003,ContObj2.Copilot_Auto003
Gallo Ernst & Julio Winery,Gallo  Sarangam,Krishna Sekhar,Street,City,Telangana,636007,India,1212Ass,12121212,testCopilot@automation.gainsighttest.com,Assistant Name,Partner Referral,-1,sample Desciprtion,FALSE,TRUE,FALSE,1212,-1,-1,MPvalue1;MPvalue2,1212,12,111222,Pvalue1,text,texttexttext,<u><i>texttexttexttext</i></u>text,Encryptedtext,http://www.google.com,testCopilot@automation.gainsighttest.com,0031a000001h0lbAAA,Case.Copilot_Auto004,ContObj2.Copilot_Auto004
