Name,Copilot_Contact_Obj1_ExternalID__c,Copilot_Contact_Obj1_Contact__r.Copilot_Contact_ExternalID__c,Copilot_Contact_Obj1_Contact_Obj2__r.Copilot_Contact_Obj2_ExternalID__c,Copilot_Contact_Obj1_Account__r.Copilot_Account_ExternalID__c,Copilot_Contact_Obj1_CHECKBOX__C,Copilot_Contact_Obj1_CURRENCY__C,Copilot_Contact_Obj1_DATE__C,Copilot_Contact_Obj1_DATETIME__C,Copilot_Contact_Obj1_MULTIPICKLIST__C,Copilot_Contact_Obj1_NUMBER__C,Copilot_Contact_Obj1_PERCENT__C,Copilot_Contact_Obj1_PHONENUMBER__C,Copilot_Contact_Obj1_PICKLIST__C,Copilot_Contact_Obj1_TEXT__C,Copilot_Contact_Obj1_TEXTAREA__C,Copilot_Contact_Obj1_TEXTAREARICH__C,Copilot_Contact_Obj1_TEXTENCRYPTED__C,Copilot_Contact_Obj1_URL__C,Copilot_Contact_Obj1_EMAIL__C
Copilot_ConObj1_Con1,Copilot_ConObj1_Con1,CopilotAc001Con003,Copilot_ConObj2_001,Copilot_AccAuto001,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con2,Copilot_ConObj1_Con2,CopilotAc002Con003,,Copilot_AccAuto002,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con3,Copilot_ConObj1_Con3,,,Copilot_AccAuto003,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con4,Copilot_ConObj1_Con4,,Copilot_ConObj2_002,Copilot_AccAuto004,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con5,Copilot_ConObj1_Con5,,Copilot_ConObj2_003,Copilot_AccAuto005,FALSE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con6,Copilot_ConObj1_Con6,CopilotAc006Con003,Copilot_ConObj2_004,Copilot_AccAuto006,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con7,Copilot_ConObj1_Con7,CopilotAc007Con003,,Copilot_AccAuto007,TRUE,200,-1,-1,MPvalue1;MPvalue2,121,89,121212,Pvalue1,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con8,Copilot_ConObj1_Con8,CopilotAc008Con003,,Copilot_AccAuto008,TRUE,200,-1,-1,MPvalue1;MPvalue3,122,90,121213,Pvalue2,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con9,Copilot_ConObj1_Con9,CopilotAc009Con003,Copilot_ConObj2_007,Copilot_AccAuto009,TRUE,200,-1,-1,MPvalue1;MPvalue4,123,91,121214,Pvalue3,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
Copilot_ConObj1_Con10,Copilot_ConObj1_Con10,CopilotAc010Con003,Copilot_ConObj2_008,Copilot_AccAuto010,TRUE,200,-1,-1,MPvalue1;MPvalue5,124,92,121215,Pvalue4,Copilot_Contact_Obj1_Text,Copilot_Contact_Obj1_Textarea,<b>Copilot_Contact_Obj1_TextAreaRich</b>,TextEncrypted,Copilot_Contact_Obj1_URL,autotest@automation.gainsighttest.com
