"Account.Data_ExternalId__c","Contact.p_c_ExternalID__c","IsEscalated","Origin","Status","Priority","Description","P_C_CHECKBOX__C","P_C_CURRENCY__C","P_C_DATE__C","P_C_DATETIME__C","P_C_MULTIPICKLIST__C","P_C_NUMBER__C","P_C_PERCENT__C","P_C_PHONENUMBER__C","P_C_PICKLIST__C","P_C_TEXT__C","P_C_TEXTAREA__C","P_C_TEXTAREARICH__C","P_C_TEXTENCRYPTED__C","P_C_URL__C","P_C_EMAIL__C","p_c_ExternalID__c"
"Copilot_Auto000","Con.Copilot_Auto000","TRUE","Email","New","High","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto000"
"Copilot_Auto001","Con.Copilot_Auto001","TRUE","Email","New","High","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto001"
"Copilot_Auto002","Con.Copilot_Auto002","TRUE","Email","New","High","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto002"
"Copilot_Auto003","Con.Copilot_Auto003","FALSE","Email","New","High","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto003"
"Copilot_Auto004","Con.Copilot_Auto004","FALSE","Phone","On Hold","Medium","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto004"
"Copilot_Auto005","Con.Copilot_Auto005","FALSE","Phone","On Hold","Medium","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto005"
"Copilot_Auto006","Con.Copilot_Auto006","FALSE","Phone","On Hold","Medium","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto006"
"Copilot_Auto007","Con.Copilot_Auto007","TRUE","Web","Escalated","Low","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto007"
"Copilot_Auto008","Con.Copilot_Auto008","TRUE","Web","Escalated","Low","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto008"
"Copilot_Auto009","Con.Copilot_Auto009","TRUE","Web","Escalated","Low","Sample Description","TRUE","1212","2015-06-29","2015-06-23T06:55:34","MPvalue1;MPvalue2","1212","12","111222","Pvalue1","text","texttexttext","<u><i>texttexttexttext</i></u>text","Encryptedtext","http://www.google.com","pparthiban@gainsight.com","Case.Copilot_Auto009"
