"JBCXM__Account__r.Data_ExternalId__c","JBCXM__Status__r.JBCXM__SystemName__c","JBCXM__Stage__r.JBCXM__SystemName__c","JBCXM__ASV__C","JBCXM__COMMENTS__C","JBCXM__GOALS__C","JBCXM__MRR__C","JBCXM__NPS__C","JBCXM__ORIGINALCONTRACTDATE__C","JBCXM__ORIGINALCONTRACTNUMBER__C","JBCXM__TAG__C","JBCXM__USERS__C","P_C_CHECKBOX__C","P_C_CURRENCY__C","P_C_DATE__C","P_C_DATETIME__C","P_C_MULTIPICKLIST__C","P_C_NUMBER__C","P_C_PERCENT__C","P_C_PHONENUMBER__C","P_C_PICKLIST__C","P_C_TEXT__C","P_C_TEXTAREA__C","P_C_TEXTAREARICH__C","P_C_TEXTENCRYPTED__C","P_C_URL__C","P_C_EMAIL__C","p_c_ExternalID__c"
"Copilot_Auto000","ActiveCustomer","stage1","10","comment here","This is Goals","100","10","2015-05-30","121","Active;Established","10","TRUE","200","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","121","89","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto000"
"Copilot_Auto001","InactiveCustomer","stage2","20","comment here","This is Goals","200","20","2015-05-30","122","Active;Established","20","FALSE","300","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","122","99","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto001"
"Copilot_Auto002","ActiveCustomer","stage3","100","comment here","This is Goals","100","10","2015-05-30","121","Active;Established","10","TRUE","200","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","121","89","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto002"
"Copilot_Auto003","InactiveCustomer","stage4","200","comment here","This is Goals","200","20","2015-05-30","122","Active;Established","20","FALSE","300","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","122","99","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto003"
"Copilot_Auto004","ActiveCustomer","stage5","100","comment here","This is Goals","100","10","2015-05-30","121","Active;Established","10","TRUE","200","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","121","89","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto004"
"Copilot_Auto005","InactiveCustomer","stage6","200","comment here","This is Goals","200","20","2015-05-30","122","Active;Established","20","FALSE","300","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","122","99","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto005"
"Copilot_Auto006","ActiveCustomer","stage1","100","comment here","This is Goals","100","10","2015-05-30","121","Active;Established","10","TRUE","200","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","121","89","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto006"
"Copilot_Auto007","InactiveCustomer","stage2","200","comment here","This is Goals","200","20","2015-05-30","122","Active;Established","20","FALSE","300","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","122","99","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto007"
"Copilot_Auto008","ActiveCustomer","stage3","100","comment here","This is Goals","100","10","2015-05-30","121","Active;Established","10","TRUE","200","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","121","89","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto008"
"Copilot_Auto009","InactiveCustomer","stage4","200","comment here","This is Goals","200","20","2015-05-30","122","Active;Established","20","FALSE","300","2015-06-29","2015-06-23T16:29:29","MPvalue1;MPvalue2","122","99","121212","Pvalue1","p_c_Text","p_c_Textarea","<b>p_c_TextAreaRich</b>","EncryptedText","p_c_URL","pparthiban@gainsight.com","CI_Copilot_Auto009"
