ContactName,CustomDate1,CustomNumber1,CustomNumber2,CustomNumberWithDecimals1,CustomNumberWithDecimals2,AccountName
Ahmed Jamal Gallo  Maaz,-3,600,350,,100,Gallo Ernst & Julio Winery
Akhila Gallo  Kotagiri,-4,599,360,200,200,Gallo Ernst & Julio Winery
Ankit Gallo  Jain,-5,598,380,,,Gallo Ernst & Julio Winery
Azharuddin Gallo  Khan,-6,597,303,400,400,Gallo Ernst & Julio Winery
Chandramani Gallo  Tiwary,-7,596,304,500,500,Gallo Ernst & Julio Winery
Farhatulla Mirza Gallo  Baig,-8,595,305,100,100,Gallo Ernst & Julio Winery
Ganesan Gallo  Vivek,-9,594,343,,100,Gallo Ernst & Julio Winery
Gayathri Gallo  Naik,-10,593,344,100,100,Gallo Ernst & Julio Winery
Giri Babu Gallo  Golla,-11,592,345,200,200,Gallo Ernst & Julio Winery
Govardhan Gallo  Kommasani,-12,591,346,300,300,Gallo Ernst & Julio Winery
Hari babu Gallo  Vadlamudi,-13,590,347,400,400,Gallo Ernst & Julio Winery
Jagadeesh Gallo  Siripurapu,-14,589,348,500,500,Gallo Ernst & Julio Winery
Jaya Prakash Gallo  Vunnam,-15,588,349,100,100,Gallo Ernst & Julio Winery
Kiran Kumar Gallo  Gubbala,-16,587,350,100,100,Gallo Ernst & Julio Winery
Krishna Sekhar Gallo  Sarangam,-17,586,351,,100,Gallo Ernst & Julio Winery
