JBCXM__Account__r.Data_ExternalId__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Tag__c,JBCXM__ASV__c,JBCXM__MRR__c,JBCXM__OneTimeRevenue__c,JBCXM__Users__c,JBCXM__OriginalContractDate__c,JBCXM__NextRenewalDate__c,JBCXM__Comments__c,Cdate1__c,Cdate2__c,Cdate3__c,Ctext1__c,Ctext2__c,Ctext3__c,CdateTime1__c,CdateTime2__c,CdateTime3__c,Cboolean1__c,Cboolean2__c,Cboolean3__c,CtextArea1__c,CtextArea2__c,CtextArea3__c,Cnumber1__c,Cnumber2__c,Cnumber3__c
AcustomRule Account 1,stage1,InactiveCustomer,Active,0,0,12,1000,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-60,AcustomRule Account 1,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,1,1,1,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1000,,
AcustomRule Account 2,stage2,ChurnCustomer,Churned,100,99,78.8,100,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-30,AcustomRule Account 2,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,2,2,2,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,100,,
AcustomRule Account 3,stage3,ActiveCustomer,Established,1000,999,49.5,50,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-15,AcustomRule Account 3,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,3,3,3,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,50,,
AcustomRule Account 4,stage4,InactiveCustomer,Inactive,10000,9999,100000,10,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-10,-10,AcustomRule Account 4,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,4,4,4,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,10,,
BcustomRule Account 5,stage5,ChurnCustomer,Onboarding,100000,99999,199.3,5,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,0,0,BcustomRule Account 5,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,5,5,5,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,5,,
BcustomRule Account 6,stage6,ActiveCustomer,Up-sell,0,0,12,0,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-60,-60,BcustomRule Account 6,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,1,1,1,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,0,,
BcustomRule Account 7,stage1,InactiveCustomer,Active,100,99,78.8,1000,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-30,BcustomRule Account 7,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,2,2,2,TRUE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1000,,
BcustomRule Account 8,stage2,ChurnCustomer,Churned,1000,999,49.5,100,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-15,BcustomRule Account 8,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,3,3,3,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,1001,,
CustomRule Account 9,stage3,ActiveCustomer,Established,10000,9999,100000,50,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-10,-10,CustomRule Account 9,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,4,4,4,FALSE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,101,,
CustomRule Account 10,stage4,InactiveCustomer,Inactive,100000,99999,199.3,10,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,0,0,CustomRule Account 10,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,5,5,5,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,51,,
