Account__r.Data_ExternalId__c,Ctext2__c,CTextArea1__c,CNumber1__c,CNumber2__c,CNumber3__c,CPercent1__c,CDate1__c,CDate2__c,CDate3__c,CText1__c,CText3__c,CDateTime1__c,CDateTime2__c,CDateTime3__c,CBoolean1__c,CBoolean2__c,CBoolean3__c
AcustomRule Account 1,InactiveCustomer,Active,12,1000,-60,60,-60,-60,-60,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,1,1,1,TRUE,FALSE,TRUE
AcustomRule Account 2,ChurnCustomer,Churned,78.8,100,-30,30,-30,-30,-30,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,2,2,2,FALSE,TRUE,TRUE
AcustomRule Account 3,ActiveCustomer,Established,49.5,50,-15,15,-15,-15,-15,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,3,3,3,FALSE,TRUE,TRUE
AcustomRule Account 4,InactiveCustomer,Inactive,100000,10,-10,10,-10,-10,-10,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,4,4,4,TRUE,TRUE,FALSE
BcustomRule Account 5,ChurnCustomer,Onboarding,199.3,5,0,0,0,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,5,5,5,TRUE,TRUE,FALSE
BcustomRule Account 6,ActiveCustomer,Up-sell,12,0,-60,60,-60,-60,-60,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,1,1,1,TRUE,FALSE,TRUE
BcustomRule Account 7,InactiveCustomer,Active,78.8,1000,-30,30,-30,-30,-30,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,2,2,2,TRUE,FALSE,FALSE
BcustomRule Account 8,ChurnCustomer,Churned,49.5,100,-15,15,-15,-15,-15,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,3,3,3,FALSE,TRUE,FALSE
CustomRule Account 9,ActiveCustomer,Established,100000,50,-10,10,-10,-10,-10,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,4,4,4,FALSE,FALSE,TRUE
CustomRule Account 10,InactiveCustomer,Inactive,199.3,10,0,0,0,0,0,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,5,5,5,TRUE,FALSE,TRUE
CustomRule Account 11,ChurnCustomer,Onboarding,12,5,-60,60,-60,-60,-60,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,1,1,1,FALSE,TRUE,TRUE
CustomRule Account 12,ActiveCustomer,Up-sell,78.8,0,-30,30,-30,-30,-30,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,2,2,2,FALSE,TRUE,TRUE
DcustomRule Account 13,InactiveCustomer,Active,49.5,1000,-15,15,-15,-15,-15,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,3,3,3,TRUE,TRUE,FALSE
DcustomRule Account 14,ChurnCustomer,Churned,100000,100,-10,10,-10,-10,-10,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,4,4,4,TRUE,FALSE,FALSE
DcustomRule Account 15,ActiveCustomer,Established,199.3,50,0,0,0,0,0,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,5,1,1,TRUE,TRUE,TRUE
DcustomRule Account 16,InactiveCustomer,Inactive,12,10,-60,60,-60,-60,-60,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,1,2,2,TRUE,TRUE,FALSE
EcustomRule Account 17,ChurnCustomer,Onboarding,78.8,5,-30,30,-30,-30,-30,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,2,2,2,FALSE,TRUE,FALSE
EcustomRule Account 18,ActiveCustomer,Up-sell,49.5,0,-15,15,-15,-15,-15,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,3,3,3,FALSE,TRUE,TRUE
EcustomRule Account 19,InactiveCustomer,Active,100000,1000,-10,10,-10,-10,-10,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,4,1,1,TRUE,FALSE,TRUE
EcustomRule Account 20,ChurnCustomer,Churned,199.3,100,0,0,0,0,0,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,5,1,1,FALSE,FALSE,TRUE
FcustomRule Account 21,ActiveCustomer,Established,12,50,-60,60,-60,-60,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,1,2,2,FALSE,TRUE,TRUE
FcustomRule Account 22,InactiveCustomer,Inactive,78.8,10,-30,30,-30,-30,-60,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,2,3,3,TRUE,FALSE,TRUE
FcustomRule Account 23,ChurnCustomer,Onboarding,49.5,5,-15,15,-15,-15,-30,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,3,4,4,TRUE,FALSE,TRUE
FcustomRule Account 24,ActiveCustomer,Up-sell,100000,0,-10,10,-60,-60,-15,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,4,5,5,TRUE,TRUE,FALSE
GcustomRule Account 25,InactiveCustomer,Active,199.3,1000,0,0,-30,-30,-10,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,5,1,1,TRUE,TRUE,FALSE
HcustomRule Account 26,ChurnCustomer,Churned,12,100,-60,60,-15,-60,0,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,1,2,2,FALSE,TRUE,TRUE
HcustomRule Account 27,ActiveCustomer,Established,78.8,50,-30,30,-10,-30,-60,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,2,3,3,FALSE,TRUE,FALSE
HcustomRule Account 28,InactiveCustomer,Inactive,49.5,10,-15,15,0,-15,-30,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,3,4,4,TRUE,FALSE,FALSE
HcustomRule Account 29,ChurnCustomer,Onboarding,100000,5,-10,10,-60,-10,-15,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,4,1,1,FALSE,TRUE,TRUE
IcustomRule Account 30,ActiveCustomer,Up-sell,199.3,0,0,0,-30,0,-60,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,5,2,2,FALSE,TRUE,TRUE
IcustomRule Account 31,InactiveCustomer,Active,12,1000,-60,60,-60,-60,-30,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,1,2,2,TRUE,TRUE,TRUE
IcustomRule Account 32,ChurnCustomer,Churned,78.8,100,-30,30,-30,-30,-15,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,2,3,3,TRUE,TRUE,TRUE
IcustomRule Account 33,ActiveCustomer,Established,49.5,50,-15,15,-15,-15,-10,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,3,1,1,TRUE,FALSE,FALSE
JcustomRule Account 34,InactiveCustomer,Inactive,100000,10,-10,10,-10,-10,0,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,4,1,1,TRUE,FALSE,FALSE
JcustomRule Account 35,ChurnCustomer,Onboarding,199.3,5,0,0,0,0,-60,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,5,2,2,FALSE,TRUE,TRUE
JcustomRule Account 36,ActiveCustomer,Up-sell,12,0,-60,60,-60,-60,-30,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,1,2,3,FALSE,FALSE,FALSE
JcustomRule Account 37,InactiveCustomer,Active,78.8,1000,-30,30,-30,-30,-15,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,2,1,1,TRUE,FALSE,FALSE
KcustomRule Account 38,ChurnCustomer,Churned,49.5,100,-15,15,-15,-15,-10,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,3,2,2,FALSE,TRUE,TRUE
KcustomRule Account 39,ActiveCustomer,Established,100000,50,-10,10,-10,-10,0,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,4,3,3,FALSE,TRUE,TRUE
KcustomRule Account 40,InactiveCustomer,Inactive,199.3,10,0,0,0,0,-60,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,5,4,4,TRUE,TRUE,TRUE
KcustomRule Account 41,ChurnCustomer,Onboarding,12,5,-60,60,-60,-60,-30,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,1,5,5,TRUE,TRUE,TRUE
LcustomRule Account 42,ActiveCustomer,Up-sell,78.8,0,-30,30,-30,-30,-15,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,2,1,1,TRUE,FALSE,TRUE
LcustomRule Account 43,InactiveCustomer,Active,49.5,1000,-15,15,-15,-15,-10,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,3,2,2,TRUE,TRUE,TRUE
LcustomRule Account 44,ChurnCustomer,Churned,100000,100,-10,10,-10,-10,0,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,4,3,3,FALSE,TRUE,FALSE
LcustomRule Account 45,ActiveCustomer,Established,199.3,50,0,0,0,0,-60,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,5,4,4,FALSE,TRUE,FALSE
McustomRule Account 46,InactiveCustomer,Inactive,12,10,-60,60,-60,-60,-30,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,1,5,5,TRUE,TRUE,TRUE
McustomRule Account 47,ChurnCustomer,Onboarding,78.8,5,-30,30,-30,-30,-15,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,2,1,1,FALSE,FALSE,FALSE
McustomRule Account 48,ActiveCustomer,Up-sell,49.5,0,-15,15,-15,-15,-10,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,3,2,2,FALSE,FALSE,FALSE
