AccountName,LastName,FirstName,Email,Contact_ExternalId__c
Gallo Ernst & Julio Winery,Gallo  Maaz,Ahmed Jamal,gallomaaz@gainsighttest.com,0031a000001h0aaAAA
Gallo Ernst & Julio Winery,Gallo  Kotagiri,Akhila,gallokotagiri@gainsighttest.com,0031a000001h0dMAAQ
Gallo Ernst & Julio Winery,Gallo  Jain,Ankit,gallojain@gainsighttest.com,0031a000001h0dNAAQ
Gallo Ernst & Julio Winery,Gallo  Khan,Azharuddin,gallokhan@gainsighttest.com,0031a000001h0dOAAQ
Gallo Ernst & Julio Winery,Gallo  Tiwary,Chandramani,gallotiwary@gainsighttest.com,0031a000001h0dPAAQ
Gallo Ernst & Julio Winery,Gallo  Baig,Farhatulla Mirza,gallobaig@gainsighttest.com,0031a000001h0dQAAQ
Gallo Ernst & Julio Winery,Gallo  Vivek,Ganesan,gallovivek@gainsighttest.com,0031a000001h0dRAAQ
Gallo Ernst & Julio Winery,Gallo  Naik,Gayathri,gallonaik@gainsighttest.com,0031a000001h0lQAAQ
Gallo Ernst & Julio Winery,Gallo  Golla,Giri Babu,gallogolla@gainsighttest.com,0031a000001h0lVAAQ
Gallo Ernst & Julio Winery,Gallo  Kommasani,Govardhan,gallokommasani@gainsighttest.com,0031a000001h0lWAAQ
Gallo Ernst & Julio Winery,Gallo  Vadlamudi,Hari babu,gallovadlamudi@gainsighttest.com,0031a000001h0lXAAQ
Gallo Ernst & Julio Winery,Gallo  Siripurapu,Jagadeesh,gallosiripurapu@gainsighttest.com,0031a000001h0lYAAQ
Gallo Ernst & Julio Winery,Gallo  Vunnam,Jaya Prakash,gallovunnam@gainsighttest.com,0031a000001h0lZAAQ
Gallo Ernst & Julio Winery,Gallo  Gubbala,Kiran Kumar,gallogubbala@gainsighttest.com,0031a000001h0laAAA
Gallo Ernst & Julio Winery,Gallo  Sarangam,Krishna Sekhar,gallosarangam@gainsighttest.com,0031a000001h0lbAAA
