AccountName,LastName,FirstName,Email,Contact_ExternalId__c,Date,EventTimeStamp,Event,Logins,UniqueLogins,PageLoadTime,FileSize,Price,ContactName
UniAmerica Inc,UniAmerica  Kumar,Sandeep Kumar,uniamericakumar@gainsighttest.com,0031a000001h0mOAAQ,0,0,Report Run,32,0,5,270,37,Sandeep Kumar  UniAmerica  Kumar
UniAmerica Inc,UniAmerica  Ithapu,Naveen Ithapu,uniamericaithapu@gainsighttest.com,0031a000001h0mPAAQ,-4,-4,Report Created,11,3,9,262,71,Naveen Ithapu  UniAmerica  Ithapu
UniAmerica Inc,UniAmerica  Maaz,Ahmed Jamal,uniamericamaaz@gainsighttest.com,0031a000001h0mQAAQ,0,0,SmartList Created,0,0,28,30,94,Ahmed Jamal  UniAmerica  Maaz
UniAmerica Inc,UniAmerica  Kotagiri,Akhila,uniamericakotagiri@gainsighttest.com,0031a000001h0mRAAQ,-9,-9,EmailTemplate Created,44,3,14,79,80,Akhila  UniAmerica  Kotagiri
UniAmerica Inc,UniAmerica  Jain,Ankit,uniamericajain@gainsighttest.com,0031a000001h0mSAAQ,-6,-6,Outreach Created,16,1,22,158,58,Ankit  UniAmerica  Jain
Abberley Kooiman,Abberley  Mendu,Prashanthi,abberleymendu@gainsighttest.com,0031a000002kj02AAA,-12,-12,Outreach Triggered,21,0,15,109,63,Prashanthi  Abberley  Mendu
Abberley Kooiman,Abberley  Avinash,Pulimi,abberleyavinash@gainsighttest.com,0031a000002kj03AAA,-8,-8,PDF Exported,26,2,6,28,82,Pulimi  Abberley  Avinash
Abberley Kooiman,Abberley  Kuditipudi,Raja,abberleykuditipudi@gainsighttest.com,0031a000002kj04AAA,-12,-12,360 Page,13,4,12,140,47,Raja  Abberley  Kuditipudi
Abberley Kooiman,Abberley  Yaddanapalli,Rajesh,abberleyyaddanapalli@gainsighttest.com,0031a000002kj05AAA,-13,-13,Rule Run,29,3,23,140,81,Rajesh  Abberley  Yaddanapalli
Abberley Kooiman,Abberley  Bankuru,Ramesh,abberleybankuru@gainsighttest.com,0031a000002kj06AAA,-10,-10,Rule Schedule Run,20,5,0,252,22,Ramesh  Abberley  Bankuru
Abberley Kooiman,Abberley  Gurram,Ranjith Kumar,abberleygurram@gainsighttest.com,0031a000002kj07AAA,-1,-1,OutReach Schedule Triggered,9,1,23,115,83,Ranjith Kumar  Abberley  Gurram
IBM Corp Data Systems Div,IBM  Ravela,Renetha,ibmravela@gainsighttest.com,0031a000002kj08AAA,-3,-3,File Uploaded,37,0,30,8,52,Renetha  IBM  Ravela
IBM Corp Data Systems Div,IBM  Dugar,Sandeep,ibmdugar@gainsighttest.com,0031a000002kj09AAA,-8,-8,File Downloaded,6,4,9,110,75,Sandeep  IBM  Dugar
IBM Corp Data Systems Div,IBM  Dontharaju,Sandy,ibmdontharaju@gainsighttest.com,0031a000002kj0AAAQ,-10,-10,CTA Created,49,5,5,222,86,Sandy  IBM  Dontharaju
IBM Corp Data Systems Div,IBM  Thounajam,Santa,ibmthounajam@gainsighttest.com,0031a000002kj0BAAQ,0,0,CTA Updated,48,3,7,151,96,Santa  IBM  Thounajam
IBM Corp Data Systems Div,IBM  Chikoti,Santosh,ibmchikoti@gainsighttest.com,0031a000002kj0CAAQ,-10,-10,Survey Created,50,5,6,46,25,Santosh  IBM  Chikoti
IBM Corp Data Systems Div,IBM  Gutha,Siddhartha,ibmgutha@gainsighttest.com,0031a000002kj0DAAQ,-2,-2,Survey Triggered,31,4,17,181,9,Siddhartha  IBM  Gutha
IBM Corp Data Systems Div,IBM  Nasika,Siva Prasad,ibmnasika@gainsighttest.com,0031a000002kj0EAAQ,-5,-5,Survey Schedule Triggered,5,4,0,235,6,Siva Prasad  IBM  Nasika
IBM Corp Data Systems Div,IBM  Jha,Sneha,ibmjha@gainsighttest.com,0031a000002kj0FAAQ,-10,-10,Success Snapshot Exported,19,3,28,297,98,Sneha  IBM  Jha
IBM Corp Data Systems Div,IBM  Rallapalli,Sri Vidya,ibmrallapalli@gainsighttest.com,0031a000002kj0GAAQ,-4,-4,CTA Created,50,1,18,205,92,Sri Vidya  IBM  Rallapalli
IBM Corp Data Systems Div,IBM  Pulagam,Srinivas,ibmpulagam@gainsighttest.com,0031a000002kj0HAAQ,-9,-9,CTA Updated,46,1,5,108,10,Srinivas  IBM  Pulagam
UniAmerica Inc,UniAmerica  Kumar,Sandeep Kumar,uniamericakumar@gainsighttest.com,0031a000001h0mOAAQ,-11,-11,Report Run,20,5,17,217,39,Sandeep Kumar  UniAmerica  Kumar
UniAmerica Inc,UniAmerica  Ithapu,Naveen Ithapu,uniamericaithapu@gainsighttest.com,0031a000001h0mPAAQ,-14,-14,Report Created,10,3,16,21,81,Naveen Ithapu  UniAmerica  Ithapu
UniAmerica Inc,UniAmerica  Maaz,Ahmed Jamal,uniamericamaaz@gainsighttest.com,0031a000001h0mQAAQ,-4,-4,SmartList Created,43,1,13,278,10,Ahmed Jamal  UniAmerica  Maaz
UniAmerica Inc,UniAmerica  Kotagiri,Akhila,uniamericakotagiri@gainsighttest.com,0031a000001h0mRAAQ,0,0,EmailTemplate Created,43,1,30,91,11,Akhila  UniAmerica  Kotagiri
UniAmerica Inc,UniAmerica  Jain,Ankit,uniamericajain@gainsighttest.com,0031a000001h0mSAAQ,-14,-14,Outreach Created,49,4,24,184,46,Ankit  UniAmerica  Jain
Abberley Kooiman,Abberley  Mendu,Prashanthi,abberleymendu@gainsighttest.com,0031a000002kj02AAA,-3,-3,Outreach Triggered,38,1,4,168,44,Prashanthi  Abberley  Mendu
