JBCXM__ACCOUNT__R.DATA_EXTERNALID__C,JBCXM__ANONYMOUSTEMPUSER__C,JBCXM__CONTACT__R.CONTACT_EXTERNALID__C,JBCXM__DISPLAYNAME__C,JBCXM__EMAILSENTCOUNT__C,JBCXM__EMAILSENTDATE__C,JBCXM__OPENED__C,JBCXM__PROCESSED__C,JBCXM__RESPONSED__C,JBCXM__ROLE__C,JBCXM__SCHEDULED__C,JBCXM__SENTEMAIL__C,JBCXM__SENT__C,JBCXM__SURVEYMASTER__R.SURMASTER_EXTERNALID__C,JBCXM__SURVEYOPENED__C,JBCXM__TESTUSER__C,JBCXM__TOKEN__C,JBCXM__UNDELIVERED__C,SURPART_EXTERNALID__C
ICM Corp,FALSE,BrockKub@googly.comICM Corp,BrockKub,,,FALSE,FALSE,TRUE,User,FALSE,brockkub@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u3nwAAA252124,FALSE,BrockKub@googly.comICM Corp
ICM Corp,FALSE,BobbieMills@googly.comICM Corp,BobbieMills,,,FALSE,FALSE,TRUE,User,FALSE,bobbiemills@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u3nxAAA313094,FALSE,BobbieMills@googly.comICM Corp
ICM Corp,FALSE,BaileeTrompII@googly.comICM Corp,BaileeTrompII,,,FALSE,FALSE,TRUE,User,FALSE,baileetrompii@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u3nyAAA997274,FALSE,BaileeTrompII@googly.comICM Corp
ICM Corp,FALSE,BillMiller@googly.comICM Corp,BillMiller,,,FALSE,FALSE,TRUE,User,FALSE,billmiller@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u3nzAAA436622,FALSE,BillMiller@googly.comICM Corp
ICM Corp,FALSE,BettyeTurner@googly.comICM Corp,BettyeTurner,,,FALSE,FALSE,TRUE,User,FALSE,bettyeturner@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u3o0AAA508336,FALSE,BettyeTurner@googly.comICM Corp
ICM Corp,FALSE,BlaiseWhite@googly.comICM Corp,BlaiseWhite,,,FALSE,FALSE,TRUE,User,FALSE,blaisewhite@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u3o1AAA138498,FALSE,BlaiseWhite@googly.comICM Corp
ICM Corp,FALSE,BellaHamill@googly.comICM Corp,BellaHamill,,,FALSE,FALSE,FALSE,User,FALSE,bellahamill@googly.com,FALSE,Customer Retention,TRUE,FALSE,a0ai0000003u3o2AAA939805,FALSE,BellaHamill@googly.comICM Corp
ICM Corp,FALSE,BeauBogan@googly.comICM Corp,BeauBogan,,,FALSE,FALSE,FALSE,User,FALSE,beaubogan@googly.com,FALSE,Customer Retention,TRUE,FALSE,a0ai0000003u3o3AAA481612,FALSE,BeauBogan@googly.comICM Corp
ICM Corp,FALSE,BraulioLesch@googly.comICM Corp,BraulioLesch,,,FALSE,FALSE,FALSE,User,FALSE,brauliolesch@googly.com,FALSE,Customer Retention,TRUE,FALSE,a0ai0000003u3o4AAA261499,FALSE,BraulioLesch@googly.comICM Corp
ICM Corp,FALSE,BrandyMayert@googly.comICM Corp,BrandyMayert,,,FALSE,FALSE,FALSE,User,FALSE,brandymayert@googly.com,FALSE,Customer Retention,FALSE,FALSE,a0ai0000003u3o5AAA990848,FALSE,BrandyMayert@googly.comICM Corp
ICM Corp,FALSE,BellHeaney@googly.comICM Corp,BellHeaney,,,FALSE,FALSE,FALSE,User,FALSE,bellheaney@googly.com,FALSE,Customer Retention,FALSE,FALSE,a0ai0000003u3o6AAA378493,FALSE,BellHeaney@googly.comICM Corp
ICM Corp,FALSE,BartConn@googly.comICM Corp,BartConn,,,FALSE,FALSE,FALSE,User,FALSE,bartconn@googly.com,FALSE,Customer Retention,FALSE,FALSE,a0ai0000003u3o7AAA379395,FALSE,BartConn@googly.comICM Corp
ICM Corp,FALSE,BobbyDach@googly.comICM Corp,BobbyDach,,,FALSE,FALSE,FALSE,User,FALSE,bobbydach@googly.com,FALSE,Customer Retention,FALSE,FALSE,a0ai0000003u3o8AAA370134,FALSE,BobbyDach@googly.comICM Corp
