JBCXM__PARTICIPANT__R.SURPART_EXTERNALID__C,JBCXM__ANSWERTEXT__C,JBCXM__ANSWER__R.SURALLOWANS_EXTERNALID__C,JBCXM__QUESTION__R.SURQUES_EXTERNALID__C,JBCXM__RANKTEXT__C,JBCXM__RANK__C,JBCXM__SUBMISSIONTIME__C,JBCXM__SURVEYMASTER__R.SURMASTER_EXTERNALID__C,SURUSERANS_EXTERNALID__C
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11_ans4,Customer Retention_Ranking11,4,4,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11_ans4
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixMultipleAnswers12_ans2,Customer Retention_MatrixMultipleAnswers12_Checkbox1,,,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixMultipleAnswers12_ans2
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixMultipleAnswers12_ans3,Customer Retention_MatrixMultipleAnswers12_Checkbox2,,,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixMultipleAnswers12_ans3
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_NPS13_ans10,Customer Retention_NPS13,,,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div CadburyCustomer Retention_NPS13_ans10
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",,Customer Retention_NPS13,,,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury
BrianneRatke@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Radio1_ans4,Customer Retention_Radio1,,,1,Customer Retention,BrianneRatke@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Radio1_ans4
BrianneRatke@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2_ans4,Customer Retention_MatrixSingleAnswer2_Radio1,,,1,Customer Retention,BrianneRatke@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2_ans4
BrianneRatke@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2_ans2,Customer Retention_MatrixSingleAnswer2_Radio2,,,1,Customer Retention,BrianneRatke@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2_ans2
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Radio1_ans5,Customer Retention_Radio1,,,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Radio1_ans5
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2_ans3,Customer Retention_MatrixSingleAnswer2_Radio1,,,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2_ans3
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2_ans2,Customer Retention_MatrixSingleAnswer2_Radio2,,,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2_ans2
BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2_ans3,Customer Retention_MatrixSingleAnswer2_Radio3,,,1,Customer Retention,BernhardAbshire@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2_ans3
