Account.Data_ExternalId__c,Contact_ExternalID__c,LeadSource,LastName,Title,Email,NumberField__c,Birthdate,NoOfReferrals__c,NumForDate__c,InvolvedIn__c,DealCloseRate__c,Active__c
Survey Rule Account 1,Survey Rule Account 1Ahmed Jamal,Web,Ahmed Jamal,Engineer,jmaaz@gainsight.com,325,02/12/13,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 1,Survey Rule Account 1Akhila,Phone Inquiry,Akhila,Junior Engineer,akotagiri@gainsight.com,2345,16/12/13,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 1,Survey Rule Account 1Amit,Partner Referral,Amit,Senior Engineer,amanepu@gainsight.com,24,01/01/14,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 1,Survey Rule Account 1Ankit,Purchased List,Ankit,Associate Engineer,akuruva@gainsight.com,52,28/04/14,4,-30,Budget,99,FALSE
Survey Rule Account 1,Survey Rule Account 1Ashok,Other,Ashok,Manager,adugaputi@gainsight.com,45,01/02/13,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 2,Survey Rule Account 2Azharuddin,Web,Azharuddin,Senior Manager,akhan@gainsight.com,24523,16/06/12,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 2,Survey Rule Account 2Chandramani,Phone Inquiry,Chandramani,CEO,ctiwary@gainsight.com,452,26/03/13,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 2,Survey Rule Account 2Farhatulla Mirza,Partner Referral,Farhatulla Mirza,CFO,fmirza@gainsight.com,45,01/04/11,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 2,Survey Rule Account 2Ganesan,Purchased List,Ganesan,CMO,vganesan@gainsight.com,34532,22/10/13,4,-30,Budget,70,TRUE
Survey Rule Account 2,Survey Rule Account 2Gayathri,Other,Gayathri,CSM,gnaik@gainsight.com,2,05/05/14,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 3,Survey Rule Account 3Giri Babu,Web,Giri Babu,Marketing Manager,ggolla@gainsight.com,3452,12/04/12,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 3,Survey Rule Account 3Govardhan,Phone Inquiry,Govardhan,Sales Manager,gkommasani@gainsight.com,345,28/11/13,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 3,Survey Rule Account 3Hari babu,Partner Referral,Hari babu,Decision Maker,hvadlamudi@gainsight.com,2456345,28/10/13,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 3,Survey Rule Account 3Hitesh,Purchased List,Hitesh,Junior Engineer,hsharma@gainsight.com,354,11/10/13,4,-30,Budget,99,FALSE
Survey Rule Account 3,Survey Rule Account 3Jagadeesh,Other,Jagadeesh,Team Lead,jsiripurapu@gainsight.com,567,15/07/13,10,40,Forecast;Budget;Marketing,100,TRUE
