Account,Name,Date,InstanceId,InstanceName,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
A and T unlimit Limited,INSTANCELEVEL,-1,Instance 1,A and T unlimit Limited - Instance 1,5890,5217,8948,415,362,846,72,1466,2077
Sienna Gold Ltd,INSTANCELEVEL,-1,Instance 1,Sienna Gold Ltd - Instance 1,10760,8115,5475,2148,528,722,418,1720,1896
COLD EXPRESS SA DE CV,INSTANCELEVEL,-1,Instance 1,COLD EXPRESS SA DE CV - Instance 1,7723,6048,4165,5081,676,880,353,1467,1515
Murex N.A. Ltd,INSTANCELEVEL,-1,Instance 1,Murex N.A. Ltd - Instance 1,731,11428,208,4799,766,651,465,1953,1891
Via Systems,INSTANCELEVEL,-1,Instance 1,Via Systems - Instance 1,4181,4749,7538,5886,545,700,59,1859,2357
DAKTEL COMUNICACIONES SA DE CV,INSTANCELEVEL,-1,Instance 1,DAKTEL COMUNICACIONES SA DE CV - Instance 1,8164,5618,10779,11700,691,715,312,1554,1815
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,INSTANCELEVEL,-1,Instance 1,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - Instance 1,10626,1652,9901,7620,339,881,90,1780,1582
OBED GERARDO ARELLANO GUTIERREZ,INSTANCELEVEL,-1,Instance 1,OBED GERARDO ARELLANO GUTIERREZ - Instance 1,7705,9764,2584,433,439,667,228,1780,1858
REFRIGERACION COMER AGROPECU,INSTANCELEVEL,-1,Instance 1,REFRIGERACION COMER AGROPECU - Instance 1,4970,6477,11998,9522,713,674,17,1640,2332
Anunay Fab Ltd,INSTANCELEVEL,-1,Instance 1,Anunay Fab Ltd - Instance 1,615,10380,4514,2495,590,909,382,1740,1681
SUPER URECOAT INDUSTRIES,INSTANCELEVEL,-1,Instance 1,SUPER URECOAT INDUSTRIES - Instance 1,9643,9897,6777,10160,728,807,500,1941,1761
Jadow B & Sons Inc,INSTANCELEVEL,-1,Instance 1,Jadow B & Sons Inc - Instance 1,2567,8336,10748,1322,562,970,317,1120,2269
Republic of Nauru Phosphate (RONPHOS) Corporation,INSTANCELEVEL,-1,Instance 1,Republic of Nauru Phosphate (RONPHOS) Corporation - Instance 1,1851,2103,10948,10705,685,1058,81,1617,1981
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,INSTANCELEVEL,-1,Instance 1,CARHLUC CARROCERIAS Y REMOLQUES SA DE CV - Instance 1,4777,6942,1007,10009,373,990,306,1756,1849
Alltech Automotive LLC,INSTANCELEVEL,-1,Instance 1,Alltech Automotive LLC - Instance 1,4648,9744,3919,7168,796,748,475,1287,1902
DALE VALOR A MEXICO SC,INSTANCELEVEL,-1,Instance 1,DALE VALOR A MEXICO SC - Instance 1,7291,1562,5400,1949,381,790,472,1933,1815
SPIN MASTER MEXICO SA DE CV,INSTANCELEVEL,-1,Instance 1,SPIN MASTER MEXICO SA DE CV - Instance 1,5671,11542,8423,10543,762,983,114,1374,1897
ATTEBURY GRAIN,INSTANCELEVEL,-1,Instance 1,ATTEBURY GRAIN - Instance 1,7614,11469,4515,1468,423,1009,164,1610,1821
Vicor,INSTANCELEVEL,-1,Instance 1,Vicor - Instance 1,1026,7759,2565,5052,482,1069,334,1661,1835
Baja Inc,INSTANCELEVEL,-1,Instance 1,Baja Inc - Instance 1,6449,662,907,2185,729,947,253,1950,1937
National Assn of Printing Ink,INSTANCELEVEL,-1,Instance 1,National Assn of Printing Ink - Instance 1,9173,10163,4261,6759,523,745,120,1860,1953
MA PATRICIA ROSALES HERNANDEZ,INSTANCELEVEL,-1,Instance 1,MA PATRICIA ROSALES HERNANDEZ - Instance 1,1475,11230,11959,4668,344,607,19,1128,1833
EVERTIS DE MEXICO SA DE CV,INSTANCELEVEL,-1,Instance 1,EVERTIS DE MEXICO SA DE CV - Instance 1,3647,10372,6627,3091,591,618,293,1166,1619
GENERAL DE CERAMICA S A DE C V,INSTANCELEVEL,-1,Instance 1,GENERAL DE CERAMICA S A DE C V - Instance 1,5030,10300,2111,10993,436,657,351,1112,2316
GRUPO VACTREK SA DE CV,INSTANCELEVEL,-1,Instance 1,GRUPO VACTREK SA DE CV - Instance 1,6843,8500,4574,584,447,613,152,1130,1649
JUAN ANGEL FLORES AGUIRRE,INSTANCELEVEL,-1,Instance 1,JUAN ANGEL FLORES AGUIRRE - Instance 1,11435,7956,6061,10005,789,785,230,1401,1934
Triumph Tool NC Inc,INSTANCELEVEL,-1,Instance 1,Triumph Tool NC Inc - Instance 1,7769,2228,11187,2502,512,801,204,1540,2421
Darta NV,INSTANCELEVEL,-1,Instance 1,Darta NV - Instance 1,2228,2607,5306,4236,738,929,175,1743,2218
COTY UK LTD,INSTANCELEVEL,-1,Instance 1,COTY UK LTD - Instance 1,2024,10809,5469,3739,659,650,370,1271,1536
Deal Partners Limited,INSTANCELEVEL,-1,Instance 1,Deal Partners Limited - Instance 1,9322,2731,5558,6874,523,1005,178,1304,2377
IRISA ADHESIVES CORPORATION SA DE CV,INSTANCELEVEL,-1,Instance 1,IRISA ADHESIVES CORPORATION SA DE CV - Instance 1,8675,7440,425,231,519,803,269,1727,1999
BOESDORFER & BOESDORFER INC,INSTANCELEVEL,-1,Instance 1,BOESDORFER & BOESDORFER INC - Instance 1,9676,8626,2397,11172,619,789,122,1865,1679
GKN Sinter Metals,INSTANCELEVEL,-1,Instance 1,GKN Sinter Metals - Instance 1,7312,11731,9005,1541,626,870,192,1321,1746
AGENCE PRESSE,INSTANCELEVEL,-1,Instance 1,AGENCE PRESSE - Instance 1,1459,2428,9829,9290,594,843,252,1543,1868
