JBCXM__ACCOUNT__R.DATA_EXTERNALID__C,JBCXM__ANONYMOUSTEMPUSER__C,JBCXM__CONTACT__R.CONTACT_EXTERNALID__C,JBCXM__DISPLAYNAME__C,JBCXM__EMAILSENTCOUNT__C,JBCXM__EMAILSENTDATE__C,JBCXM__OPENED__C,JBCXM__PROCESSED__C,JBCXM__RESPONSED__C,JBCXM__ROLE__C,JBCXM__SCHEDULED__C,JBCXM__SENTEMAIL__C,JBCXM__SENT__C,JBCXM__SURVEYMASTER__R.SURMASTER_EXTERNALID__C,JBCXM__SURVEYOPENED__C,JBCXM__TESTUSER__C,JBCXM__TOKEN__C,JBCXM__UNDELIVERED__C,SURPART_EXTERNALID__C,JBCXM__ResponseDate__c
ICM Corp,FALSE,BelleGutkowski@googly.comICM Corp,BelleGutkowski,1,,FALSE,FALSE,TRUE,User,FALSE,bellegutkowski@googly.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5jhAAA279147,FALSE,BelleGutkowski@googly.comICM Corp,1
Cadbury Beverages Div Cadbury,FALSE,BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,BriceBreitenberg,1,,FALSE,FALSE,TRUE,User,FALSE,bricebreitenberg@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5izAAA476453,FALSE,BriceBreitenberg@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BarrettSwaniawski@gainsight.comCadbury Beverages Div Cadbury,BarrettSwaniawski,1,,FALSE,FALSE,TRUE,User,FALSE,barrettswaniawski@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j0AAA584893,FALSE,BarrettSwaniawski@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,BernhardAbshire,1,,FALSE,FALSE,TRUE,User,FALSE,bernhardabshire@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j1AAA198202,FALSE,BernhardAbshire@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BenGrady@gainsight.comCadbury Beverages Div Cadbury,BenGrady,1,,FALSE,FALSE,TRUE,User,FALSE,bengrady@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5iuAAA806769,FALSE,BenGrady@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BillieSpencer@gainsight.comCadbury Beverages Div Cadbury,BillieSpencer,1,,FALSE,FALSE,TRUE,User,FALSE,billiespencer@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5ivAAA139923,FALSE,BillieSpencer@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BrookeUpton@gainsight.comCadbury Beverages Div Cadbury,BrookeUpton,1,,FALSE,FALSE,TRUE,User,FALSE,brookeupton@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5iwAAA608174,FALSE,BrookeUpton@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,BufordO'Connell,1,,FALSE,FALSE,TRUE,User,FALSE,bufordo'connell@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j2AAA504190,FALSE,BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BonitaKirlin@gainsight.comCadbury Beverages Div Cadbury,BonitaKirlin,1,,FALSE,FALSE,TRUE,User,FALSE,bonitakirlin@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j3AAA002355,FALSE,BonitaKirlin@gainsight.comCadbury Beverages Div Cadbury,1
Cadbury Beverages Div Cadbury,FALSE,BlazeNader@gainsight.comCadbury Beverages Div Cadbury,BlazeNader,1,,FALSE,FALSE,TRUE,User,FALSE,blazenader@gainsight.com,TRUE,Customer Retention,TRUE,FALSE,a0ai0000003u5j4AAA579795,FALSE,BlazeNader@gainsight.comCadbury Beverages Div Cadbury,1
