JBCXM__PARTICIPANT__R.SURPART_EXTERNALID__C,JBCXM__ANSWERTEXT__C,JBCXM__ANSWER__R.SURALLOWANS_EXTERNALID__C,JBCXM__QUESTION__R.SURQUES_EXTERNALID__C,JBCXM__RANKTEXT__C,JBCXM__RANK__C,JBCXM__SUBMISSIONTIME__C,JBCXM__SURVEYMASTER__R.SURMASTER_EXTERNALID__C,SURUSERANS_EXTERNALID__C
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Radio1Once in 2-3 Months_ans4,Customer Retention_Radio1,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Radio1Once in 2-3 Months_ans4Customer Retention_Radio1
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2,Customer Retention_MatrixSingleAnswer2_Radio1,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2Customer Retention_MatrixSingleAnswer2_Radio1
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Miserably_ans1,Customer Retention_MatrixSingleAnswer2_Radio2,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Miserably_ans1Customer Retention_MatrixSingleAnswer2_Radio2
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Very Satisfactory_ans3,Customer Retention_MatrixSingleAnswer2_Radio3,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Very Satisfactory_ans3Customer Retention_MatrixSingleAnswer2_Radio3
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Miserably_ans1,Customer Retention_MatrixSingleAnswer2_Radio4,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Miserably_ans1Customer Retention_MatrixSingleAnswer2_Radio4
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2,Customer Retention_MatrixSingleAnswer2_Radio5,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2Customer Retention_MatrixSingleAnswer2_Radio5
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2,Customer Retention_MatrixSingleAnswer2_Radio6,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MatrixSingleAnswer2Somewhat Satisfactory_ans2Customer Retention_MatrixSingleAnswer2_Radio6
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,"Note that the code always refers to the Collection by its interface type (Set) rather than by its implementation type (HashSet). This is a strongly recommended programming practice because it gives you the flexibility to change implementations merely by changing the constructor. If either of the variables used to store a collection or the parameters used to pass it around are declared to be of the Collection's implementation type rather than its interface type, all such variables and parameters must be changed in order to change its implementation type.",Customer Retention_Comment3_ans1,Customer Retention_Comment3,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Comment3_ans1Customer Retention_Comment3
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_SingleSelect4Might or might not_ans3,Customer Retention_SingleSelect4,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_SingleSelect4Might or might not_ans3Customer Retention_SingleSelect4
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Radio6Yes_ans1,Customer Retention_Radio6,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Radio6Yes_ans1Customer Retention_Radio6
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_MultiSelect7Appear knowledgeable and competent_ans2,Customer Retention_MultiSelect7,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_MultiSelect7Appear knowledgeable and competent_ans2Customer Retention_MultiSelect7
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,This comments are filled for text field.,Customer Retention_Text8_ans1,Customer Retention_Text8,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Text8_ans1Customer Retention_Text8
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,This comments are filled for text field.,Customer Retention_Text9_ans1,Customer Retention_Text9,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Text9_ans1Customer Retention_Text9
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Checkbox10Sales_ans1,Customer Retention_Checkbox10,,,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Checkbox10Sales_ans1Customer Retention_Checkbox10
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Sales_ans1,Customer Retention_Ranking11,1,1,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Sales_ans1Customer Retention_Ranking11
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Pre-Sales_ans2,Customer Retention_Ranking11,2,2,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Pre-Sales_ans2Customer Retention_Ranking11
BufordO'Connell@gainsight.comCadbury Beverages Div Cadbury,,Customer Retention_Ranking11Services_ans3,Customer Retention_Ranking11,3,3,1,Customer Retention,BufordO'Connell@gainsight.comCadbury Beverages Div CadburyCustomer Retention_Ranking11Services_ans3Customer Retention_Ranking11
