AccountID__r.Data_ExternalID__c,Email,FirstName ,LastName ,Title ,Phone
SURVEY Account 1,sjha@gainsight.com,Sneha,Jha,Manager,9891000000
SURVEY Account 1,jvunnam@gainsight.com,JP,V,QA,9891000001
SURVEY Account 1,ggolla@gainsight.com,Giri,Golla,QA,9891000002
SURVEY Account 1,srallapalli@gainsight.com,SriVidya,R,QA,9891000003
SURVEY Account 1,ryaddanapalli@gainsight.com,Rajesh,Y,Support Lead,9891000004
SURVEY Account 1,spulluri@gainsight.com,Sai,Ram,,9891000005
SURVEY Account 1,snasika@gainsight.com,Siva,Prasad,NS QA,9891000006
SURVEY Account 1,rkalisipudi@gainsight.com,Ramya,K,SFDC QA,9891000007
SURVEY Account 1,hsharma@gainsight.com,Hitesh,Sharma,QA,9891000008
SURVEY Account 1,spadmanabhan@gainsight.com,Sunand,P,NS QA,9891000009
SURVEY Account 2,sjha@gainsight.com,Sneha,Jha,Manager,9891000000
SURVEY Account 2,jvunnam@gainsight.com,JP,V,QA,9891000001
SURVEY Account 2,ggolla@gainsight.com,Giri,Golla,QA,9891000002
SURVEY Account 2,srallapalli@gainsight.com,SriVidya,R,QA,9891000003
SURVEY Account 2,ryaddanapalli@gainsight.com,Rajesh,Y,Support Lead,9891000004
SURVEY Account 2,spulluri@gainsight.com,Sai,Ram,,9891000005
SURVEY Account 2,snasika@gainsight.com,Siva,Prasad,NS QA,9891000006
SURVEY Account 2,rkalisipudi@gainsight.com,Ramya,K,SFDC QA,9891000007
SURVEY Account 2,hsharma@gainsight.com,Hitesh,Sharma,QA,9891000008
SURVEY Account 2,spadmanabhan@gainsight.com,Sunand,P,NS QA,9891000009
SURVEY Account 3,sjha@gainsight.com,Sneha,Jha,Manager,9891000000
SURVEY Account 3,jvunnam@gainsight.com,JP,V,QA,9891000001
SURVEY Account 3,ggolla@gainsight.com,Giri,Golla,QA,9891000002
SURVEY Account 3,srallapalli@gainsight.com,SriVidya,R,QA,9891000003
SURVEY Account 3,ryaddanapalli@gainsight.com,Rajesh,Y,Support Lead,9891000004
SURVEY Account 3,spulluri@gainsight.com,Sai,Ram,,9891000005
SURVEY Account 3,snasika@gainsight.com,Siva,Prasad,NS QA,9891000006
SURVEY Account 3,rkalisipudi@gainsight.com,Ramya,K,SFDC QA,9891000007
SURVEY Account 3,hsharma@gainsight.com,Hitesh,Sharma,QA,9891000008
SURVEY Account 3,spadmanabhan@gainsight.com,Sunand,P,NS QA,9891000009
SURVEY Account 4,sjha@gainsight.com,Sneha,Jha,Manager,9891000000
SURVEY Account 4,jvunnam@gainsight.com,JP,V,QA,9891000001
SURVEY Account 4,ggolla@gainsight.com,Giri,Golla,QA,9891000002
SURVEY Account 4,srallapalli@gainsight.com,SriVidya,R,QA,9891000003
SURVEY Account 4,ryaddanapalli@gainsight.com,Rajesh,Y,Support Lead,9891000004
SURVEY Account 4,spulluri@gainsight.com,Sai,Ram,,9891000005
SURVEY Account 4,snasika@gainsight.com,Siva,Prasad,NS QA,9891000006
SURVEY Account 4,rkalisipudi@gainsight.com,Ramya,K,SFDC QA,9891000007
SURVEY Account 4,hsharma@gainsight.com,Hitesh,Sharma,QA,9891000008
SURVEY Account 4,spadmanabhan@gainsight.com,Sunand,P,NS QA,9891000009
