Account.Data_ExternalId__c,Contact_ExternalID__c,LeadSource,FirstName,LastName,Title,Email,NumberField__c,Birthdate,NoOfReferrals__c,NumForDate__c,InvolvedIn__c,DealCloseRate__c,Active__c
Survey Rule Account 1,Survey Rule Account 1Ahmed Jamal,Web,Survey Rule Account 1,Ahmed Jamal,Engineer,jmaaz@gainsight.com,325,2013-12-02,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 1,Survey Rule Account 1Akhila,Phone Inquiry,Survey Rule Account 1,Akhila,Junior Engineer,akotagiri@gainsight.com,2345,2013-12-16,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 1,Survey Rule Account 1Amit,Partner Referral,Survey Rule Account 1,Amit,Senior Engineer,amanepu@gainsight.com,24,2014-01-01,6,-20,Finance;Budget,30,TRUE
Survey Rule Account 1,Survey Rule Account 1Ankit,Purchased List,Survey Rule Account 1,Ankit,Associate Engineer,akuruva@gainsight.com,52,2014-04-28,4,-30,Budget,99,FALSE
Survey Rule Account 1,Survey Rule Account 1Ashok,Other,Survey Rule Account 1,Ashok,Manager,adugaputi@gainsight.com,45,2013-02-01,10,40,Forecast;Budget;Marketing,100,TRUE
Survey Rule Account 2,Survey Rule Account 2Azharuddin,Web,Survey Rule Account 2,Azharuddin,Senior Manager,akhan@gainsight.com,24523,2012-06-16,1,1,Marketing ; Sales,55,FALSE
Survey Rule Account 2,Survey Rule Account 2Chandramani,Phone Inquiry,Survey Rule Account 2,Chandramani,CEO,ctiwary@gainsight.com,452,2013-03-26,3,20,Sales;Forecast,45,TRUE
Survey Rule Account 2,Survey Rule Account 2Farhatulla Mirza,Partner Referral,Survey Rule Account 2,Farhatulla Mirza,CFO,fmirza@gainsight.com,45,2011-04-01,6,-20,Finance;Budget,30,FALSE
Survey Rule Account 2,Survey Rule Account 2Ganesan,Purchased List,Survey Rule Account 2,Ganesan,CMO,vganesan@gainsight.com,34532,2013-10-22,4,-30,Budget,70,TRUE
Survey Rule Account 2,Survey Rule Account 2Gayathri,Other,Survey Rule Account 2,Gayathri,CSM,gnaik@gainsight.com,2,2014-05-05,10,40,Forecast;Budget;Marketing,80,FALSE
Survey Rule Account 3,Survey Rule Account 3Giri Babu,Web,Survey Rule Account 3,Giri Babu,Marketing Manager,ggolla@gainsight.com,3452,2012-04-12,1,1,Marketing ; Sales,10,TRUE
Survey Rule Account 3,Survey Rule Account 3Govardhan,Phone Inquiry,Survey Rule Account 3,Govardhan,Sales Manager,gkommasani@gainsight.com,345,2013-11-28,3,20,Sales;Forecast,20,FALSE
Survey Rule Account 3,Survey Rule Account 3Hari babu,Partner Referral,Survey Rule Account 3,Hari babu,Decision Maker,hvadlamudi@gainsight.com,2456345,2013-10-28,6,-20,Finance;Budget,30,TRUE
